,AwayTeam,FTAG
1,Arsenal,0
2,Liverpool,3
3,Arsenal,0
4,Liverpool,3
5,Arsenal,1
6,Liverpool,3
7,Arsenal,0
8,Liverpool,5
9,Liverpool,5
10,Arsenal,2
11,Liverpool,2
12,Arsenal,0
13,Liverpool,4
14,Arsenal,2
15,Liverpool,1
16,Arsenal,1
17,Arsenal,4
18,Liverpool,2
19,Arsenal,5
20,Liverpool,0
21,Liverpool,2
22,Liverpool,3
23,Arsenal,1
24,Liverpool,1
25,Arsenal,3
26,Liverpool,2
27,Liverpool,2
28,Arsenal,1
29,Arsenal,0
30,Liverpool,2
31,Arsenal,0
32,Arsenal,4
33,Liverpool,1
34,Arsenal,2
35,Liverpool,2
36,Arsenal,0
37,Arsenal,0
38,Liverpool,2
